#{"t_start": 1763070829.3985534, "env_id": "None"}
r,l,t
-18.965635,4,0.020005
-18.915684,33,0.075444
125.088247,99,0.23299
-18.953042,35,0.284251
-18.945443,44,0.350882
-18.958136,39,0.406272
-18.963811,29,0.453384
-18.930394,40,0.506552
-18.938508,31,0.556632
-18.965025,36,0.643602
-18.948842,40,0.770821
-18.965943,32,0.823715
-18.934701,48,0.900348
-18.961702,42,0.970456
-18.892525,38,1.020399
-18.956513,38,1.085358
-18.964884,42,1.15184
-18.934951,37,1.207932
-18.950961,45,1.265762
-18.962154,29,1.313454
-18.963408,29,1.422333
-18.961407,48,1.488326
-18.971666,43,1.562986
-18.944657,27,1.613853
-18.934675,42,1.671091
125.109813,97,1.82451
-18.933831,34,1.883453
-18.93446,42,1.948521
-18.961233,43,2.008628
-18.959038,28,2.109744
-18.967106,29,2.162387
-18.959799,33,2.209766
-18.946697,38,2.29092
-18.956591,57,2.393878
-18.915408,36,2.445004
-18.939057,42,2.506669
-18.929427,42,2.57069
-18.97,23,2.600325
-18.962821,37,2.649853
-18.926599,40,2.708254
-18.940643,47,2.84868
-18.937849,57,2.942252
-18.920435,39,3.009911
-18.960438,42,3.068964
-18.906734,50,3.148554
-18.912798,53,3.227207
-18.949164,27,3.267102
-18.951367,48,3.336374
-18.950907,43,3.402404
-18.938745,41,3.535814
-18.923936,36,3.593642
-18.950322,32,3.653603
-18.967746,46,3.724345
-18.878686,38,3.777275
-18.976496,41,3.843876
-18.947125,38,3.897452
-18.970215,31,3.947459
-18.944898,47,4.009199
-18.876914,39,4.070056
-18.932563,38,4.193171
-18.930289,48,4.282389
-18.93723,28,4.330999
-18.942188,44,4.451305
-18.920339,32,4.50196
-18.916361,42,4.563618
-18.952562,41,4.622688
101.0,1,4.624285
-18.956446,31,4.675639
-18.905805,40,4.728781
-18.932315,39,4.785863
-18.931214,28,4.826701
-18.919208,35,4.940055
-18.967594,31,4.993728
-18.953816,36,5.054439
-18.967358,30,5.108557
-18.949555,28,5.146743
-18.934908,31,5.188277
101.0,1,5.19001
-18.95306,29,5.238627
-18.924309,40,5.294956
-18.915826,38,5.351914
-18.961288,32,5.399262
-18.908842,40,5.457721
-18.968642,29,5.496636
-18.946679,40,5.623615
-18.972558,40,5.692096
-18.918531,40,5.766775
-18.976194,31,5.815028
-18.939023,45,5.880897
-18.947997,41,5.938236
-18.956763,32,5.985891
-18.947979,39,6.037478
-18.950767,42,6.09818
-18.916027,51,6.172234
-18.945711,26,6.270092
-18.96686,31,6.326799
-18.932938,42,6.40361
-18.951067,47,6.473545
-18.917797,38,6.553372
-18.958811,24,6.59833
-18.936946,62,6.692332
-18.944048,38,6.750807
-18.956405,41,6.807094
-18.982459,30,6.852579
-18.9696,43,6.976443
-18.989226,12,7.000772
-18.958277,42,7.0764
-18.950257,28,7.120605
-18.931514,29,7.168527
-18.943,31,7.210282
-18.963586,48,7.278671
-18.879572,24,7.314494
-18.937369,45,7.378448
-18.938523,38,7.434046
-18.962171,33,7.483106
123.145971,108,7.697865
-18.923074,37,7.766138
-18.952245,45,7.843112
-18.974945,33,7.892685
-18.956109,43,7.95544
-18.964123,33,8.003149
-18.938846,38,8.059677
-18.95971,37,8.112327
-18.980815,30,8.158258
-18.880221,79,8.326952
-18.935591,39,8.398525
125.085796,87,8.538281
-18.936806,46,8.612762
-18.912867,39,8.69383
-18.952431,42,8.778396
-18.935215,32,8.82828
-18.955578,21,8.855507
-18.955516,25,8.898118
-18.940039,36,9.01082
-18.946523,36,9.069382
-18.960578,39,9.143533
-18.954601,62,9.240859
-18.924201,49,9.305233
-18.924835,25,9.348086
-18.950771,42,9.405114
-18.979273,38,9.464271
-18.957827,33,9.512157
101.040772,28,9.5536
-18.91565,47,9.623188
-18.934067,34,9.751199
-18.942735,47,9.821091
-18.959342,45,9.902148
101.0,1,9.9039
-18.923624,51,9.982117
-18.940602,42,10.041523
-18.963999,29,10.089146
-18.933705,27,10.124619
-18.981956,30,10.167677
-18.96846,16,10.193689
-18.946131,49,10.259873
-18.953218,45,10.386594
-18.936161,49,10.466357
132.081168,54,10.546764
-18.956926,35,10.602442
-18.921198,36,10.66151
119.163291,84,10.778687
125.086546,90,10.937641
-18.96282,18,10.982148
-4.946126,37,11.104511
-18.907229,41,11.180125
-18.946186,46,11.254706
-7.907059,53,11.333323
-18.919031,37,11.386798
-18.915431,42,11.452255
-14.956845,24,11.482941
-18.947043,28,11.530221
-18.90041,26,11.563648
-18.896202,38,11.621969
-18.955336,21,11.656054
-6.889533,58,11.801002
-18.912282,21,11.850863
3.026107,30,11.894509
-18.908294,31,11.954302
-18.853397,30,12.002485
-18.89254,28,12.04912
-18.945718,15,12.069899
-18.867128,26,12.103623
-18.936909,43,12.168108
-18.98774,7,12.177116
-18.896362,33,12.221254
-2.867633,91,12.346674
-18.88797,34,12.463508
-18.906123,39,12.530425
-18.875664,43,12.585342
-18.892293,30,12.641822
-13.80216,55,12.725029
-18.896927,39,12.776484
-18.975289,14,12.799729
-18.879764,29,12.850311
-18.933554,29,12.8873
-18.905326,37,12.944643
-18.892059,34,12.992746
-18.938089,22,13.021148
-18.951212,20,13.162617
101.0,1,13.164678
-18.909793,44,13.235586
124.203363,72,13.349685
-18.894161,59,13.438097
-18.929266,16,13.463566
-18.88047,27,13.498734
-18.935386,34,13.546921
-18.912377,45,13.609625
101.0,1,13.611292
-5.897794,58,13.695841
-18.908244,42,13.817982
-18.90207,27,13.864327
-18.924792,28,13.905944
-18.843929,40,13.972637
-18.92151,27,14.01902
-18.974126,24,14.058779
-13.838278,53,14.125846
-18.93562,34,14.185261
-18.955308,38,14.243739
-18.897073,44,14.304374
101.0,1,14.305951
-18.924763,35,14.364639
-18.902813,38,14.486651
-18.945142,27,14.535576
129.186194,121,14.719136
-18.8492,33,14.769335
-18.973605,10,14.782354
-18.961018,15,14.82205
123.136167,96,14.986496
-18.935545,35,15.043337
-17.986422,24,15.073858
-18.958481,12,15.089369
101.0,1,15.090956
-18.920228,26,15.186978
-7.820753,74,15.300341
130.146362,89,15.445612
-18.882874,35,15.496747
-18.957661,24,15.532746
-18.930519,14,15.55096
-18.955104,46,15.61988
-18.9345,34,15.672282
-18.992003,13,15.689635
-18.915805,33,15.734094
-18.95341,17,15.763545
-18.873589,28,15.865898
-18.911681,26,15.915386
-18.907482,36,15.967457
-18.875151,32,16.025961
-18.89741,39,16.08163
-18.942491,38,16.141186
-14.934621,65,16.236485
-18.915545,38,16.285547
-18.953889,42,16.350935
-18.964395,42,16.409682
-18.919962,39,16.524454
-18.870128,25,16.567
-18.891387,25,16.601161
-18.952215,33,16.646298
-18.941564,39,16.713954
-18.933014,24,16.751135
120.050867,26,16.789791
-18.948958,30,16.834518
-18.983736,20,16.860021
-18.986486,7,16.873328
-18.912392,52,16.987929
-18.940654,39,17.047151
-18.909985,31,17.091571
-18.888779,32,17.141997
127.102305,92,17.333738
-18.916657,40,17.405928
101.0,1,17.408273
-18.929813,17,17.439391
101.0,1,17.441107
-18.91923,40,17.503891
-18.944573,34,17.551934
101.0,1,17.553508
-18.914054,48,17.62517
-18.931794,19,17.649493
-18.949936,33,17.701669
-18.977903,22,17.734984
-18.943061,30,17.77692
-18.993599,11,17.791945
-18.939811,38,17.908311
-18.922194,39,17.966834
-18.938327,16,17.998432
-18.909929,30,18.045343
131.128334,79,18.150455
-18.926136,40,18.20792
-18.928902,38,18.267268
-18.887406,41,18.32347
-18.927786,34,18.38311
-18.920927,42,18.441895
-18.978188,17,18.46917
101.0,1,18.470762
-18.927636,24,18.563141
-18.887875,34,18.62532
125.129448,109,18.783101
-18.91511,35,18.84125
-2.894912,67,18.936664
-18.92452,37,18.990441
-18.908157,26,19.040423
-18.965333,25,19.10088
3.105727,72,19.27661
-18.971196,40,19.346396
-18.958667,38,19.416377
-18.952282,36,19.487643
-18.907335,55,19.575506
-18.935153,35,19.622883
-18.913339,30,19.676668
-18.927313,35,19.724169
-18.921508,36,19.774778
-18.967823,46,19.839656
101.0,1,19.841247
-18.925588,36,19.964369
-18.961748,43,20.04629
-18.946505,34,20.125941
-18.957688,44,20.197124
-18.942533,29,20.239734
-18.953014,24,20.27032
-18.955645,51,20.340394
-18.931139,31,20.385012
-18.934005,32,20.433517
124.101204,107,20.649722
-18.956264,27,20.69948
124.061282,83,20.827565
-18.970391,60,20.922273
-18.962517,37,20.9807
-18.955438,49,21.046341
-18.931061,39,21.105777
124.113122,98,21.275105
-18.941563,44,21.410214
-18.97394,54,21.489495
101.0,1,21.491094
-18.94143,40,21.557689
-18.954492,37,21.610433
-18.953573,55,21.685201
-17.948557,62,21.774778
-18.972274,38,21.830112
-18.975769,39,21.889491
-18.90203,44,22.015808
-18.959319,49,22.101263
-18.960366,47,22.17263
101.0,1,22.174216
-18.958923,56,22.258234
-18.956067,47,22.328914
-18.928525,36,22.380757
-18.971574,8,22.391197
129.057923,97,22.527519
4.097574,86,22.715457
124.090948,93,22.867449
128.039374,88,22.99046
-18.982214,33,23.03926
101.0,1,23.040938
-18.928915,35,23.096599
144.027872,84,23.252821
-18.941659,28,23.300318
-18.952032,36,23.421443
-18.965203,44,23.486722
-18.925538,35,23.547405
-18.928001,45,23.606542
-18.985013,31,23.657569
-18.938734,38,23.70788
101.0,1,23.709469
-18.956783,32,23.765658
101.0,1,23.767394
-18.945361,40,23.829189
-18.954258,35,23.874876
-18.917959,47,23.943972
-18.969988,57,24.09076
-18.940694,44,24.150442
-18.93943,37,24.211103
-18.946099,35,24.265888
-18.943734,48,24.335985
-18.96509,9,24.347757
-18.945602,44,24.409749
101.0,1,24.411339
-18.965486,41,24.474699
101.0,1,24.476526
-18.936994,29,24.519493
127.092849,102,24.722964
124.099348,87,24.859579
-18.959143,23,24.901257
101.0,1,24.902889
-18.967582,45,24.972481
-17.0,11,24.986836
-18.976816,34,25.045155
101.0,1,25.047065
-18.95108,54,25.121623
101.0,1,25.123202
-18.916953,70,25.252365
-18.978737,11,25.278055
-18.95889,46,25.412028
129.031366,31,25.45782
-17.96888,60,25.552222
-18.947946,41,25.619776
-18.994179,16,25.642227
101.0,1,25.643944
-18.950947,36,25.70186
-1.988979,63,25.781814
-18.949658,39,25.84163
-18.962416,37,25.893376
-18.957114,59,25.97792
130.049996,61,26.129689
-16.957199,76,26.243458
-18.964138,61,26.330856
-18.995061,38,26.389158
-18.995535,19,26.418964
-18.9496,63,26.511763
101.003423,8,26.521943
-18.931204,34,26.57501
-18.987905,39,26.627919
-18.933279,69,26.79616
-18.990696,17,26.826452
-18.950397,42,26.897946
-18.963392,42,26.959419
-18.971419,43,27.024023
-13.904489,53,27.092417
121.069993,122,27.260628
-18.94664,47,27.442679
-18.93869,42,27.520087
-18.960515,34,27.58322
-18.958827,37,27.634758
-18.947024,38,27.69197
-18.914318,61,27.779205
-18.905375,39,27.83943
-18.935411,55,27.91553
-18.984207,30,27.95868
-18.953728,29,27.997552
-18.935916,57,28.137291
-18.957731,40,28.19945
-18.939305,36,28.264575
-18.921821,44,28.326351
-18.89394,33,28.383883
127.089056,99,28.520553
-18.942596,44,28.588717
-18.960013,48,28.652586
-18.951704,41,28.770482
-18.892276,46,28.851564
-8.923199,52,28.936039
-18.955493,28,28.980721
-18.951877,28,29.019192
-18.936373,48,29.088282
125.09302,130,29.274508
-18.934663,43,29.400078
123.04895,98,29.56225
-18.908058,42,29.644672
-18.939575,67,29.743885
101.0,1,29.745475
128.081824,111,29.897521
-18.943094,53,29.975884
-18.932437,52,30.111861
-18.946872,39,30.180541
-18.951501,34,30.237583
-18.937872,22,30.272531
127.026026,30,30.313325
-18.957725,43,30.380373
-18.944236,49,30.446336
101.0,1,30.448101
-18.944879,31,30.502397
101.0,1,30.504115
-18.977151,29,30.548671
101.008937,15,30.574213
-18.970767,29,30.618369
125.049938,123,30.847128
121.089921,98,30.98948
-18.949349,42,31.055532
-18.95597,40,31.111738
101.0,1,31.113322
-18.940833,46,31.183018
-18.922939,30,31.228455
-18.943659,62,31.380085
-18.946334,55,31.485152
101.0,1,31.487138
-18.994094,27,31.533199
-18.971051,45,31.598223
147.038007,59,31.673665
-18.973467,48,31.785479
145.058317,113,31.953049
-18.986223,30,31.997859
-18.95709,33,32.100114
-18.964987,50,32.176465
-18.94789,47,32.253137
-18.956459,28,32.295569
-18.976587,55,32.374209
-18.982796,28,32.416113
-18.973599,69,32.510301
-18.974703,30,32.558642
-18.949106,29,32.598174
-18.95418,42,32.654696
-18.93918,47,32.794335
101.0,1,32.796058
-18.930161,50,32.88189
-18.9282,33,32.934156
-18.967166,37,32.988114
101.0,1,32.98972
-18.965018,48,33.057144
-18.953667,29,33.09954
131.065595,112,33.250216
127.040161,113,33.475937
-18.981742,39,33.542572
-18.954331,42,33.614096
-18.975755,31,33.661482
-18.987608,43,33.722958
-18.947085,41,33.782256
-18.970685,23,33.832031
-18.947346,35,33.903761
144.054074,112,34.119519
-18.967635,39,34.184241
-18.965132,39,34.235587
-18.949675,79,34.354591
133.047703,77,34.468652
-18.941931,30,34.513304
-18.973765,39,34.570431
-18.943891,45,34.633625
-18.986376,58,34.785547
-18.972382,41,34.851893
-18.974276,59,34.939435
126.029238,111,35.092107
-18.98242,39,35.155983
101.0,1,35.157589
-18.976781,64,35.252197
125.022282,105,35.476708
-18.950369,81,35.603456
-18.955607,42,35.670138
137.030522,56,35.741585
-18.993066,39,35.804068
-18.974901,17,35.826486
116.034405,119,36.085311
-18.969183,51,36.167535
127.039565,112,36.331721
124.026093,110,36.491848
-18.993069,32,36.540657
-18.972806,48,36.60971
-18.996632,34,36.65342
-18.97859,70,36.822148
-18.988628,51,36.907952
101.0,1,36.909674
-18.991879,35,36.961703
-18.983275,46,37.028245
101.0,1,37.029852
128.034539,106,37.177791
-18.961488,48,37.250713
130.025941,142,37.510087
129.011973,137,37.719307
-13.98369,75,37.826595
128.051364,122,38.075378
-18.984141,54,38.182514
-18.968968,38,38.24475
101.0,1,38.246592
127.019858,107,38.394671
10.055476,124,38.570589
-18.983057,41,38.629843
-18.997518,15,38.7122
150.118164,83,38.840225
128.024927,111,39.012793
128.052737,111,39.169638
-18.952918,40,39.233849
-18.959174,47,39.358137
-18.957686,45,39.433556
-18.958547,47,39.503921
-18.955073,46,39.577919
-18.966383,42,39.643563
-18.860191,50,39.708696
-18.98686,66,39.801771
-18.998389,24,39.837896
-18.941961,24,39.868996
-18.952406,36,39.919858
-18.968382,73,40.086127
-18.959675,50,40.175547
-18.951505,53,40.268221
-18.989588,12,40.30496
-18.973594,46,40.387917
-18.950435,40,40.444995
-18.936991,52,40.518897
-18.948415,54,40.592887
-18.938779,42,40.718506
-18.941157,39,40.780585
-18.956312,45,40.852315
-18.933426,49,40.921514
-18.98939,34,40.976333
-18.958658,55,41.056403
-18.884719,53,41.125692
-18.93884,41,41.185937
-18.942364,39,41.241974
-3.937237,125,41.472781
-18.968626,42,41.538551
-18.977096,23,41.569341
-18.944355,36,41.621114
-18.95602,47,41.681144
-18.961794,38,41.742936
132.035804,105,41.888246
-18.938848,32,41.995839
-18.961868,35,42.065589
125.095861,95,42.203955
-18.984763,45,42.274302
1.02403,83,42.392606
-18.981611,36,42.491986
113.035282,128,42.733671
129.04934,107,42.909609
-18.973899,58,42.995252
-18.944289,39,43.050134
-18.962784,73,43.15316
126.056045,116,43.371477
128.028468,93,43.513614
-18.974096,27,43.560209
-18.97362,7,43.569493
-18.992566,30,43.61146
101.0,1,43.613183
-18.970738,40,43.679693
-11.946492,35,43.727365
119.100646,109,43.876136
-18.989985,48,44.004357
-18.989039,42,44.07566
-18.978984,29,44.11885
101.0,1,44.120572
-18.916175,74,44.244825
131.022729,107,44.395735
-5.983068,66,44.493052
-18.956301,48,44.600174
-18.99131,17,44.628037
-18.976684,87,44.835014
134.065301,94,44.977473
-18.976008,65,45.071279
-18.910238,44,45.137474
-18.948868,30,45.180958
-18.972973,49,45.251172
126.076164,132,45.496044
-5.970154,123,45.679774
125.040344,113,45.830531
128.049353,116,46.055427
131.025853,81,46.185061
131.02304,91,46.315708
135.06077,97,46.451971
129.038861,82,46.628365
-18.974224,50,46.702906
-18.984998,40,46.805136
101.0,1,46.808074
-19.0,48,46.90026
-18.0,24,46.931078
-18.939748,24,46.961899
116.081827,100,47.106099
126.05099,123,47.336468
-18.967015,49,47.41753
146.03424,97,47.55712
-18.969089,34,47.60728
101.0,1,47.608899
129.107171,81,47.728101
-18.963516,46,47.793212
-18.96125,16,47.813573
-18.929106,33,47.86142
133.087328,102,48.063427
131.121298,94,48.201023
125.070952,99,48.340108
-18.954268,35,48.397063
-18.97593,23,48.4265
-18.982169,35,48.476812
130.074427,95,48.666754
-18.948342,60,48.769043
-18.969799,25,48.809261
-18.966726,16,48.835795
-18.975081,56,48.909933
-18.957648,41,48.972852
131.086639,134,49.209574
129.143687,108,49.438557
-18.937955,24,49.47683
-18.963628,22,49.513381
125.084338,93,49.643709
125.148783,123,49.825723
-18.956225,27,49.866348
136.066572,111,50.09042
127.101777,117,50.262962
-18.971933,67,50.355169
163.088234,111,50.508255
128.156975,118,50.750788
-18.957703,40,50.817839
-18.963906,32,50.859904
-18.965364,33,50.904757
-18.961282,16,50.930545
-18.909955,54,50.999989
129.102783,101,51.143458
127.139651,111,51.432676
122.133033,100,51.580521
126.175144,98,51.722699
-18.932469,33,51.771079
-18.994801,12,51.786664
-18.934962,43,51.847087
101.015095,5,51.854218
129.084745,109,52.086723
127.129225,139,52.283629
-18.893509,34,52.333529
-18.980979,15,52.357565
135.124131,123,52.587178
-18.977248,29,52.639632
-18.905601,33,52.699129
-18.957542,32,52.744868
101.0,1,52.746717
-18.92826,45,52.819154
-18.943565,45,52.881749
127.135316,97,53.020689
-18.974372,30,53.065668
-18.935579,43,53.12932
-18.92772,30,53.173253
-18.951058,35,53.280731
-18.947985,28,53.34328
131.088628,99,53.514331
-18.916744,44,53.582888
-18.971623,23,53.613206
-18.973816,13,53.630073
-18.937988,48,53.696456
-18.88487,43,53.752388
-18.967355,35,53.804239
128.06765,97,54.005486
-18.948038,39,54.062847
101.0,1,54.064437
130.105079,111,54.227903
126.126218,100,54.367403
-18.956888,38,54.422459
152.072274,111,54.640732
132.127893,117,54.816152
128.118463,116,54.976451
-18.951233,47,55.048191
-18.952441,32,55.094327
101.0,1,55.09592
127.097273,114,55.330667
-18.916242,41,55.395548
-18.983025,14,55.414799
-18.929987,37,55.468104
127.124911,98,55.653857
-18.96219,17,55.683141
-18.950467,16,55.703783
-18.95951,8,55.714296
125.078275,97,55.915595
133.043053,102,56.075528
132.169032,116,56.241871
129.070356,113,56.39695
127.040354,102,56.610135
-18.980933,54,56.699844
127.085826,104,56.858012
135.084929,102,57.001243
129.048556,108,57.218494
126.069436,107,57.381003
131.023033,104,57.53508
120.081635,94,57.666239
128.129533,96,57.899648
-18.954777,47,57.981122
101.0,1,57.982979
-18.98552,26,58.034806
-18.955656,42,58.090992
101.0,1,58.092627
-18.95205,45,58.162123
121.072077,98,58.29714
131.06886,95,58.429682
-18.967229,37,58.548123
-18.980929,31,58.596722
101.0,1,58.598324
124.078219,99,58.76048
125.061051,113,58.925996
130.073566,100,59.068435
-18.984579,44,59.137605
-18.90156,60,59.278883
128.087095,113,59.44282
-18.955509,36,59.500229
143.065341,131,59.680117
-18.937316,42,59.741003
119.113801,151,60.065682
-18.954742,24,60.104801
101.0,1,60.106444
132.065441,109,60.264784
133.084398,108,60.413586
127.097056,137,60.688538
131.099399,121,60.864761
-18.947528,30,60.913788
